,PoS,Token
3979,NOUN,污染度
3980,VERB,降低
3981,ADP,在
3982,NOUN,2008年
3983,VERB,挽救
3984,PART,了
3985,ADV,大约
3986,NUM,580
3987,CCONJ,到
3988,NUM,1800
3989,NUM,个
3990,NOUN,生命
3991,PUNCT,。
3992,PRON,他们
3993,VERB,担心
3994,NOUN,广告
3995,NOUN,收入
3996,VERB,会
3997,ADV,因此
3998,VERB,减少
3999,PUNCT,。
4000,PUNCT,”
4001,ADP,因为
4002,VERB,霍尔
4003,PRON,本人
4004,ADV,并
4005,ADV,未
4006,VERB,受审
4007,PRON,她
4008,ADV,没有
4009,VERB,获得
4010,ADP,为
4011,PRON,她
4012,PRON,自己
4013,VERB,辩护
4014,PART,的
4015,NOUN,权利
4016,PART,而
4017,VERB,凯普
4018,PART,的
4019,ADJ,高级
4020,NOUN,律师
4021,PROPN,诺曼·伯基特
4022,PUNCT,（
4023,PROPN,Norman
4024,PROPN,Birkett
4025,PUNCT,）
4026,VERB,说服
4027,PRON,她
4028,ADV,不要
4029,VERB,出庭作证
4030,PUNCT,。
4031,ADV,常缩
4032,VERB,写
4033,VERB,为
4034,ADJ,Quốc
4035,NOUN,Ngữ
4036,PUNCT,）
4037,VERB,是
4038,NOUN,越南语
4039,PART,的
4040,ADJ,现代
4041,NOUN,书写
4042,NOUN,方法
4043,PUNCT,。
4044,SCONJ,虽然
4045,PRON,这
4046,VERB,并非
4047,ADJ,一般
4048,PART,的
4049,ADP,用
4050,NOUN,法突
4051,VERB,变体
4052,PART,的
4053,NOUN,lac
4054,ADV,o因
4055,NOUN,历史
4056,NOUN,关係
4057,VERB,会
4058,VERB,称为
4059,NOUN,lac
4060,VERB,oc
4061,PUNCT,。
4062,NOUN,2012
4063,CCONJ,至
4064,NUM,2013
4065,NOUN,财年
4066,NOUN,巴士
4067,NOUN,公司
4068,VERB,共有
4069,DET,各类
4070,NOUN,客车
4071,NUM,518
4072,NUM,辆
4073,NOUN,其中
4074,NOUN,铰接
4075,NOUN,客车
4076,NUM,111量
4077,NUM,40
4078,NUM,英尺
4079,ADJ,标准
4080,NOUN,巴士
4081,NUM,374
4082,NUM,辆
4083,CCONJ,以及
4084,ADJ,小型
4085,NOUN,巴士
4086,NUM,33
4087,NUM,辆
4088,PUNCT,。
4089,ADP,为
4090,VERB,促进
4091,NOUN,女童
4092,NOUN,教育
4093,PROPN,沃森
4094,ADV,曾
4095,VERB,走访
4096,PROPN,孟加拉国
4097,CCONJ,和
4098,PROPN,赞比亚
4099,PUNCT,。
4100,ADV,但
4101,NOUN,关係
4102,NOUN,诠释
4103,VERB,允许
4104,VERB,不同
4105,PART,的
4106,NOUN,观察者
4107,VERB,可以
4108,ADP,对
4109,ADJ,相同
4110,PART,的
4111,NOUN,系列
4112,NOUN,事件
4113,VERB,给出
4114,VERB,不同
4115,PART,的
4116,NOUN,描述
4117,DET,这些
4118,NOUN,描述
4119,VERB,取决于
4120,PRON,它们
4121,PART,所
4122,NOUN,测知
4123,ADP,关于
4124,DET,这个
4125,NOUN,系统
4126,PART,的
4127,NOUN,信息
4128,PUNCT,。
4129,VERB,促进
4130,NOUN,身心
4131,NOUN,健康
4132,NOUN,成长
4133,PUNCT,。
4134,ADP,因为
4135,NOUN,政府
4136,VERB,关心
4137,VERB,无
4138,VERB,注册
4139,PART,的
4140,NOUN,伊斯兰
4141,NOUN,学校
4142,VERB,偏离
4143,ADJ,正规
4144,NOUN,教育
4145,NOUN,要求
4146,VERB,促进
4147,VERB,好战
4148,PART,的
4149,NOUN,意识
4150,NOUN,形态
4151,NOUN,政府
4152,ADV,已经
4153,VERB,关闭
4154,PART,了
4155,NUM,4500多
4156,NUM,所
4157,DET,这些
4158,NOUN,机构
4159,VERB,驱逐
4160,PART,了
4161,ADP,在
4162,PRON,那
4163,VERB,裡
4164,VERB,学习
4165,PART,的
4166,NOUN,外国
4167,NOUN,学生
4168,PUNCT,。
4169,DET,这
4170,NUM,两
4171,NUM,个
4172,NOUN,项目
4173,ADV,也
4174,VERB,有
4175,PRON,其
4176,NOUN,名字
4177,PUNCT,-
4178,PROPN,Ju
4179,NUM,248
4180,NOUN,Flunder
4181,PUNCT,（
4182,NOUN,牙鲆
4183,PUNCT,）
4184,CCONJ,和
4185,NOUN,Me
4186,NUM,263
4187,NOUN,Scholle
4188,PUNCT,（
4189,NOUN,鲽
4190,PUNCT,）
4191,PUNCT,。
4192,DET,每
4193,NUM,一
4194,NUM,位
4195,ADJ,参赛者
4196,PART,的
4197,NOUN,分数
4198,ADP,从
4199,NUM,75
4200,ADJ,分起
4201,NOUN,跳满
4202,ADV,分
4203,VERB,是
4204,NUM,100分
4205,PUNCT,。
4206,NOUN,公诉方
4207,VERB,认为
4208,ADV,事先
4209,ADV,已经
4210,VERB,批准
4211,VERB,改变
4212,NOUN,庭审
4213,NOUN,地点
4214,ADV,因此
4215,VERB,案发
4216,NOUN,地点
4217,PART,的
4218,NOUN,证明
4219,VERB,应该
4220,VERB,是
4221,NUM,一
4222,NUM,件
4223,ADJ,无关紧要
4224,PART,的
4225,NOUN,事
4226,ADV,但
4227,NOUN,法官
4228,ADV,仍然
4229,VERB,维持
4230,VERB,裁定
4231,NOUN,州长
4232,PROPN,德沙
4233,PART,的
4234,NOUN,声誉
4235,ADV,也
4236,VERB,受到
4237,ADJ,进一步
4238,NOUN,打击
4239,PUNCT,。
4240,PROPN,荷兰
4241,PROPN,阿姆斯特丹
4242,NOUN,名称
4243,ADV,已
4244,VERB,出现
4245,ADP,于
4246,NOUN,文献
4247,PUNCT,。
4248,PROPN,nan
4249,ADV,这是
4250,PRON,你们
4251,PART,的
4252,NOUN,主所
4253,VERB,降示
4254,PART,的
4255,NOUN,减轻
4256,CCONJ,和
4257,PROPN,慈恩
4258,PUNCT,。
4259,PRON,我
4260,VERB,是
4261,NUM,个
4262,NOUN,贼
4263,PUNCT,，
4264,PROPN,Trent
4265,NOUN,先生
4266,PUNCT,。
4267,PRON,人人
4268,ADV,都
4269,VERB,能
4270,VERB,变天
4271,ADV,才
4272,PUNCT,？
4273,ADV,又
4274,ADJ,一个
4275,NOUN,自由主义者
4276,NOUN,明天
4277,ADV,将
4278,VERB,会
4279,VERB,离开
4280,DET,这个
4281,NOUN,地球
4282,PUNCT,。
4283,PRON,她
4284,VERB,协助
4285,VERB,创建
4286,PART,了
4287,NOUN,天空
4288,CCONJ,和
4289,NOUN,大地
4290,PUNCT,。
4291,NOUN,明天
4292,NOUN,制度
4293,ADV,也
4294,VERB,会
4295,VERB,奴役
4296,PRON,你
4297,PUNCT,。
4298,NOUN,空气
4299,NOUN,污染
4300,ADV,总是
4301,VERB,伴随
4302,PART,着
4303,DET,所有
4304,NOUN,文明
4305,PUNCT,。
4306,ADV,是的
4307,PUNCT,，
4308,PRON,我
4309,VERB,是
4310,NUM,一
4311,NUM,本
4312,ADJ,有关
4313,NOUN,环境
4314,PART,的
4315,NOUN,书
4316,PUNCT,。
4317,PRON,他们
4318,VERB,指望
4319,PART,着
4320,PRON,你
4321,VERB,来
4322,VERB,指导
4323,PRON,他们
4324,PUNCT,。
4325,PRON,我
4326,ADV,永远
4327,ADV,都
4328,ADV,不
4329,VERB,会
4330,VERB,忘记
4331,PRON,我们
4332,ADV,共同
4333,VERB,创建
4334,PART,的
4335,DET,那个
4336,VERB,无声
4337,PART,的
4338,NOUN,世界
4339,PUNCT,。
4340,PRON,我
4341,ADP,为
4342,PRON,我
4343,PART,的
4344,NOUN,父母
4345,VERB,感到
4346,VERB,羞愧
4347,PUNCT,。
4348,NOUN,目前
4349,PUNCT,，
4350,PRON,他
4351,VERB,计划
4352,X,将
4353,DET,这种
4354,NOUN,机器
4355,PART,的
4356,NOUN,生产
4357,VERB,拓展
4358,VERB,到
4359,NUM,106
4360,NUM,个
4361,NOUN,国家
4362,PUNCT,。
4363,ADV,但
4364,VERB,没有
4365,NOUN,人
4366,VERB,说
4367,PROPN,杜鲁门
4368,NOUN,总统
4369,VERB,是
4370,NOUN,恐怖
4371,NOUN,分子
4372,PUNCT,，
4373,ADP,在
4374,PRON,那
4375,PART,之前
4376,PUNCT,，
4377,PRON,我
4378,VERB,梦想
4379,PART,着
4380,VERB,逃跑
4381,PUNCT,。
4382,ADV,不要
4383,VERB,来
4384,VERB,参加
4385,PRON,我们
4386,PART,的
4387,NOUN,会议
4388,PUNCT,，
4389,SCONJ,除非
4390,PRON,你们
4391,VERB,有
4392,PART,了
4393,ADP,有关
4394,NOUN,月球
4395,NOUN,诞生
4396,PART,的话
4397,VERB,要
4398,VERB,说
4399,PUNCT,。
4400,ADV,也许
4401,PRON,我
4402,VERB,会
4403,ADP,在
4404,NOUN,死者
4405,PART,中
4406,VERB,找到
4407,PRON,他们
4408,PUNCT,。
4409,PRON,我
4410,VERB,命令
4411,DET,整个
4412,NOUN,政府
4413,ADV,立即
4414,VERB,采取
4415,NOUN,行动
4416,PUNCT,。
4417,ADV,但
4418,PRON,我们
4419,PART,中
4420,VERB,没有
4421,NOUN,人
4422,PUNCT,‘
4423,VERB,吃
4424,PART,了
4425,PUNCT,’
4426,NOUN,外国
4427,NOUN,宗教
4428,PUNCT,。
4429,PRON,他
4430,NOUN,当时
4431,ADV,反
4432,VERB,问道
4433,PUNCT,：
4434,PUNCT,“
4435,PRON,你
4436,VERB,会
4437,VERB,烧掉
4438,PRON,自己
4439,VERB,用
4440,VERB,超过
4441,NUM,20年
4442,NOUN,时间
4443,VERB,建成
4444,PART,的
4445,ADJ,唯一
4446,NUM,一
4447,NUM,座
4448,NOUN,纪念碑
4449,PART,吗
4450,PUNCT,？
4451,PUNCT,”
4452,PUNCT,。
4453,PRON,我
4454,ADV,只是
4455,VERB,想
4456,VERB,尊重
4457,VERB,原始
4458,PART,的
4459,NOUN,DNA
4460,PUNCT,”
4461,PUNCT,。
4462,NOUN,六月
4463,NOUN,十日
4464,PUNCT,：
4465,SCONJ,尽管
4466,NOUN,革命
4467,ADV,仍
4468,ADV,在
4469,VERB,进行
4470,PUNCT,，
4471,NOUN,科学
4472,NOUN,研究
4473,ADV,仍然
4474,VERB,继续
4475,PUNCT,。
4476,ADP,为了
4477,PRON,我们
4478,PART,的
4479,NOUN,孩子
4480,PUNCT,，
4481,ADV,也
4482,ADP,为了
4483,PRON,你
4484,PUNCT,，
4485,PROPN,萨曼莎
4486,PUNCT,。
4487,PRON,这
4488,ADV,也
4489,VERB,显示
4490,VERB,出
4491,NUM,102
4492,VERB,是
4493,DET,一个
4494,NOUN,哈沙德数
4495,PUNCT,。
4496,PRON,它
4497,ADV,将
4498,ADV,不
4499,ADV,再
4500,ADP,在
4501,NOUN,世界
4502,DET,任何
4503,NOUN,地方
4504,VERB,建造
4505,NOUN,核电厂
4506,PUNCT,。
4507,PRON,我
4508,VERB,相信
4509,PRON,我们
4510,VERB,可以
4511,ADV,一起
4512,VERB,建设
4513,CCONJ,和
4514,NOUN,发展
4515,PUNCT,。
4516,NOUN,送礼者
4517,VERB,在
4518,PRON,哪里
4519,PUNCT,？
4520,ADV,所以
4521,PRON,我
4522,VERB,告诉
4523,NOUN,爸爸
4524,PUNCT,，
4525,VERB,是
4526,NOUN,时候
4527,VERB,让
4528,DET,这
4529,ADJ,小
4530,NOUN,女孩
4531,VERB,吃
4532,NOUN,东西
4533,PART,了
4534,PUNCT,。
4535,ADP,到
4536,NOUN,2011年
4537,PUNCT,，
4538,VERB,轮船
4539,PART,的
4540,NOUN,数量
4541,ADV,已经
4542,VERB,下降
4543,VERB,到
4544,NUM,103
4545,NUM,艘
4546,PUNCT,（
4547,VERB,估计
4548,PUNCT,）
4549,PUNCT,。
4550,PROPN,巴勒斯坦
4551,ADV,一直
4552,VERB,是
4553,NOUN,贸易
4554,PART,的
4555,NOUN,十字路口
4556,PUNCT,；
4557,NOUN,现在
4558,PUNCT,，
4559,ADV,这种
4560,NOUN,贸易
4561,ADV,也
4562,VERB,延伸
4563,VERB,到
4564,PART,了
4565,PROPN,欧洲
4566,PUNCT,。
4567,VERB,没有
4568,NOUN,交易
4569,CCONJ,或
4570,VERB,生产
4571,ADP,在
4572,ADJ,非均衡
4573,NOUN,价格
4574,VERB,发生
4575,PUNCT,。
4576,PRON,我
4577,ADV,宁愿
4578,ADP,和
4579,PRON,他们
4580,ADV,一起
4581,VERB,淹死
4582,ADV,也
4583,ADV,不
4584,VERB,愿
4585,VERB,离开
4586,PRON,他们
4587,PUNCT,。
4588,PRON,我
4589,ADP,在
4590,NUM,三
4591,NUM,岁
4592,PART,的
4593,NOUN,时候
4594,VERB,使用
4595,PROPN,DOS
4596,PUNCT,。
4597,PRON,它
4598,ADV,仍
4599,VERB,有待
4600,VERB,实施
4601,ADP,由
4602,PROPN,欧洲
4603,NOUN,联盟
4604,PUNCT,(C
4605,NOUN,L
4606,NOUN,P
4607,NOUN,条例
4608,PROPN,)
4609,VERB,在
4610,NOUN,2009年
4611,PUNCT,。
4612,NOUN,明天
4613,PRON,你
4614,ADV,将
4615,X,被
4616,VERB,处决
4617,PUNCT,，
4618,ADV,但
4619,VERB,这是
4620,ADP,为了
4621,ADV,一个
4622,ADJ,好的
4623,NOUN,目标
4624,PUNCT,。
4625,NOUN,城堡
4626,CCONJ,和
4627,NOUN,花园
4628,VERB,可以
4629,ADP,在
4630,NOUN,春季
4631,CCONJ,和
4632,NOUN,夏季
4633,VERB,参观
4634,PUNCT,。
4635,PRON,他
4636,VERB,否认
4637,DET,所有
4638,NOUN,控罪
4639,PUNCT,。
4640,VERB,这是
4641,,一个
4642,NOUN,事实
4643,PUNCT,，
4644,NUM,800年
4645,PART,前
4646,ADP,在
4647,DET,这
4648,NUM,座
4649,NOUN,城市
4650,VERB,犯下
4651,PART,了
4652,NUM,一
4653,NUM,件
4654,NOUN,罪行
4655,PUNCT,。
4656,PRON,它
4657,ADV,不
4658,ADV,再
4659,X,被
4660,VERB,作为
4661,ADJ,单独
4662,NOUN,标准
4663,NOUN,开发
4664,PUNCT,。
4665,PRON,我
4666,ADV,也
4667,VERB,可以
4668,VERB,讲
4669,PUNCT,，
4670,NUM,十五
4671,PART,年后
4672,PRON,我们
4673,ADV,可能
4674,VERB,赶上
4675,CCONJ,或者
4676,VERB,超过
4677,PROPN,英国
4678,PUNCT,。
4679,NOUN,大厅
4680,PART,内
4681,PART,的
4682,NOUN,欢欣
4683,VERB,在
4684,PRON,哪里
4685,PUNCT,？
4686,PRON,这
4687,VERB,包括
4688,PUNCT,“
4689,ADJ,跨国
4690,PUNCT,”
4691,NOUN,历史
4692,PUNCT,，
4693,ADV,有时
4694,ADV,也
4695,VERB,包括
4696,NOUN,国际史
4697,PUNCT,。
4698,ADP,在
4699,NOUN,2004年
4700,PROPN,柏林
4701,VERB,召开
4702,PART,的
4703,PROPN,欧洲
4704,VERB,可
4705,VERB,再生
4706,NOUN,能源
4707,NOUN,会议
4708,PART,上
4709,PUNCT,，
4710,PROPN,欧盟
4711,VERB,确定
4712,PART,了
4713,PRON,自己
4714,PART,的
4715,VERB,雄心勃勃
4716,PART,的
4717,NOUN,目标
4718,PUNCT,。
4719,ADV,然而
4720,PUNCT,，
4721,ADP,直到
4722,NOUN,1967年
4723,PART,以前
4724,PUNCT,，
4725,PRON,它
4726,VERB,是
4727,DET,其他
4728,NUM,几
4729,NUM,条
4730,NOUN,街道
4731,PART,的
4732,NUM,一部分
4733,PUNCT,。
4734,ADV,还
4735,VERB,注意
4736,VERB,到
4737,PUNCT,，
4738,VERB,没有
4739,DET,任何
4740,ADV,一个
4741,NOUN,工人
4742,VERB,能
4743,VERB,有效
4744,PART,地
4745,VERB,做
4746,NOUN,任务
4747,NUM,3
4748,PUNCT,。
4749,ADV,无论如何
4750,PUNCT,，
4751,PRON,我
4752,ADV,都
4753,ADV,不
4754,VERB,希望
4755,VERB,成为
4756,VERB,想
4757,PROPN,乔治·布什
4758,VERB,那样
4759,PART,的
4760,NOUN,人
4761,PUNCT,”
4762,PUNCT,。
4763,NOUN,1953年
4764,PART,末
4765,PUNCT,，
4766,ADP,像
4767,PROPN,Tropic
4768,ADP,of
4769,PROPN,Cancer
4770,CCONJ,和
4771,ADP,From
4772,NOUN,Here
4773,ADP,to
4774,PROPN,Eternity
4775,PRON,这样
4776,PART,的
4777,NOUN,书
4778,ADV,依然
4779,X,被
4780,VERB,禁
4781,PUNCT,。
4782,NOUN,2012年
4783,NOUN,1月
4784,PUNCT,，
4785,DET,该
4786,NOUN,公司
4787,ADV,又
4788,VERB,分为
4789,NUM,两
4790,NUM,家
4791,NOUN,公司
4792,PUNCT,，
4793,PROPN,Paradox
4794,PROPN,Interactive
4795,CCONJ,和
4796,PROPN,Paradox
4797,NOUN,Development
4798,NOUN,Studio
4799,PUNCT,。
4800,PROPN,土耳其
4801,NOUN,人民
4802,PUNCT,，
4803,PRON,我
4804,ADV,永远
4805,ADP,与
4806,PRON,你们
4807,VERB,站
4808,ADV,在一起
4809,PUNCT,，
4810,VERB,争取
4811,PART,这项
4812,NOUN,权利
4813,PUNCT,。
4814,ADV,换句话说
4815,PUNCT,，
4816,PRON,他们
4817,ADV,不
4818,VERB,应该
4819,ADV,太
4820,VERB,早
4821,VERB,出来
4822,PUNCT,。
4823,DET,这
4824,NUM,一
4825,PUNCT,“
4826,ADJ,双重
4827,NOUN,战略
4828,PUNCT,”
4829,ADV,将
4830,ADP,在
4831,VERB,接下来
4832,PART,的
4833,NUM,五
4834,PART,年内
4835,VERB,主导
4836,PROPN,英国
4837,PART,的
4838,NOUN,政策
4839,PUNCT,。
4840,PROPN,Bonkras
4841,VERB,用
4842,PART,了
4843,NUM,1
4844,NUM,小时
4845,NUM,55
4846,NUM,分钟
4847,PUNCT,。
4848,NUM,3
4849,PROPN,G
4850,NOUN,PP2
4851,ADV,也
4852,VERB,提供
4853,ADP,关于
4854,PRON,它
4855,PART,的
4856,NOUN,系统
4857,PART,的
4858,ADJ,类似
4859,NOUN,信息
4860,PUNCT,。
4861,PRON,我们
4862,VERB,需要
4863,VERB,去
4864,VERB,考虑
4865,DET,这些
4866,NOUN,技术
4867,ADV,如何
4868,X,将
4869,PRON,我们
4870,VERB,揭示
4871,PUNCT,（
4872,CCONJ,或
4873,VERB,去蔽
4874,PUNCT,）
4875,PUNCT,。
4876,VERB,超过
4877,NUM,10
4878,NUM,","
4879,NUM,000
4880,NUM,个
4881,NOUN,科学
4882,NOUN,出版物
4883,VERB,讨论
4884,PROPN,TT
4885,ADJ,F及其衍
4886,NOUN,生物
4887,PUNCT,。
4888,DET,任何
4889,DET,其他
4890,PART,的
4891,NOUN,东西
4892,ADP,对
4893,PRON,我们
4894,NOUN,平台
4895,ADV,都
4896,VERB,是
4897,VERB,自杀
4898,PUNCT,。
4899,ADV,没有
4900,VERB,犯下
4901,NOUN,错误
4902,PUNCT,：
4903,PRON,我们
4904,VERB,写下
4905,PART,了
4906,NOUN,历史
4907,PUNCT,。
4908,PUNCT,“
4909,PRON,我
4910,ADV,从没
4911,VERB,想
4912,PART,过
4913,VERB,要
4914,VERB,当
4915,NUM,一
4916,NUM,名
4917,NOUN,政治家
4918,PUNCT,，
4919,ADV,但
4920,NOUN,今天
4921,PRON,我
4922,ADP,作为
4923,DET,一个
4924,NOUN,市长
4925,ADP,在
4926,PRON,你们
4927,NOUN,面前
4928,VERB,发言
4929,PUNCT,，
4930,PUNCT,”
4931,PRON,她
4932,VERB,说
4933,PUNCT,。
4934,VERB,推翻
4935,PRON,你们
4936,PART,的
4937,NOUN,政府
4938,PART,吧
4939,PUNCT,，
4940,PRON,他们
4941,ADV,不
4942,VERB,关心
4943,PRON,你
4944,PUNCT,。
4945,ADV,同时
4946,PUNCT,，
4947,PROPN,萨勒曼
4948,NOUN,国王
4949,VERB,任命
4950,PART,了
4951,NUM,26
4952,NUM,名
4953,ADJ,新
4954,NOUN,法官
4955,PUNCT,。
4956,SCONJ,如果
4957,ADV,没有
4958,PUNCT,，
4959,NOUN,科学家
4960,ADV,将
4961,VERB,继续
4962,VERB,坚持
4963,ADJ,既定
4964,PART,的
4965,NOUN,概念
4966,NOUN,框架
4967,PUNCT,。
4968,NOUN,总统
4969,ADP,在
4970,PRON,他
4971,PUNCT,/
4972,PRON,她
4973,NOUN,旅行
4974,PART,的
4975,DET,每
4976,NUM,一
4977,NUM,架
4978,NOUN,飞机
4979,PART,上
4980,VERB,使用
4981,PRON,它
4982,PUNCT,。
4983,PRON,你
4984,VERB,可以
4985,VERB,取得
4986,NOUN,指挥权
4987,PUNCT,，
4988,ADV,但是
4989,PRON,我
4990,VERB,认为
4991,PRON,我们
4992,ADV,将
4993,X,被
4994,VERB,捉住
4995,CCONJ,并
4996,X,被
4997,VERB,杀死
4998,PUNCT,。
4999,ADV,但
5000,PRON,他
5001,ADV,不
5002,ADV,总是
5003,VERB,喝醉
5004,PUNCT,。
5005,ADV,例如
5006,PUNCT,，
5007,VERB,假设
5008,ADP,在
5009,NOUN,夏天
5010,PART,时
5011,PART,的
5012,NOUN,苹果
5013,PUNCT,100%
5014,ADV,也
5015,VERB,是
5016,NOUN,红色
5017,PART,的
5018,PUNCT,。
5019,ADP,给
5020,PRON,我们
5021,PRON,你
5022,PART,的
5023,NUM,14
5024,NUM,张
5025,NOUN,照片
5026,PUNCT,，
5027,PRON,我们
5028,ADV,就
5029,VERB,能
5030,VERB,辨别
5031,VERB,出
5032,PRON,你
5033,PUNCT,。
5034,PRON,我
5035,VERB,估计
5036,ADV,每年
5037,PRON,我
5038,ADP,在
5039,NOUN,家里
5040,PART,的
5041,NOUN,时间
5042,VERB,只有
5043,NUM,四
5044,NUM,天
5045,PUNCT,”
5046,PUNCT,。
5047,ADV,此外
5048,PUNCT,，
5049,NUM,一些
5050,NOUN,国家
5051,VERB,支付
5052,ADJ,额外
5053,PART,的
5054,NOUN,SSI
5055,NOUN,资金
5056,PUNCT,。
5057,ADV,然而
5058,PUNCT,，
5059,DET,这
5060,NUM,两
5061,NUM,名
5062,NOUN,机组
5063,NOUN,成员
5064,ADV,都
5065,ADP,在
5066,NOUN,法庭
5067,PART,上
5068,VERB,说
5069,DET,这些
5070,NOUN,灯
5071,VERB,是
5072,VERB,绿色
5073,PART,的
5074,PUNCT,。
5075,SCONJ,如果
5076,PRON,你们
5077,VERB,想
5078,VERB,让
5079,NOUN,匈牙利人
5080,VERB,越过
5081,PROPN,多瑙河
5082,PUNCT,，
5083,ADV,那么
5084,VERB,让
5085,PRON,他们
5086,VERB,来
5087,PART,吧
5088,PUNCT,。
5089,NOUN,1908年
5090,PUNCT,，
5091,ADV,一个
5092,NOUN,政府
5093,NOUN,委员会
5094,X,将
5095,DET,这些
5096,ADJ,相关
5097,NOUN,事件
5098,VERB,联系
5099,PART,得
5100,ADV,更
5101,VERB,紧密
5102,PUNCT,。
5103,NOUN,骨头
5104,PUNCT,（
5105,ADV,尤其是
5106,NOUN,鼻子
5107,PUNCT,）
5108,VERB,可能
5109,VERB,会
5110,VERB,畸形
5111,PUNCT,。
5112,ADP,在
5113,PROPN,委内瑞拉
5114,PUNCT,，
5115,DET,每
5116,NUM,21
5117,NUM,分钟
5118,ADV,就
5119,VERB,有
5120,NUM,一个
5121,NOUN,人
5122,X,被
5123,VERB,谋杀
5124,PUNCT,。
5125,ADV,至少
5126,NUM,四十
5127,NUM,名
5128,PUNCT,（
5129,PROPN,波兰
5130,PUNCT,）
5131,NOUN,男子
5132,PUNCT,”
5133,VERB,是
5134,NOUN,犯罪
5135,PART,的
5136,NOUN,肇事者
5137,PUNCT,。
5138,NUM,十四
5139,NUM,个
5140,ADJ,新
5141,NOUN,委员会
5142,ADP,于
5143,NOUN,1980年
5144,PART,开始
5145,VERB,有效
5146,PART,地
5147,VERB,工作
5148,PUNCT,。
5149,DET,有些
5150,NOUN,人
5151,VERB,需要
5152,NUM,一
5153,NUM,场
5154,NOUN,地震
5155,PART,来
5156,VERB,唤醒
5157,PRON,他们
5158,PUNCT,。
5159,PUNCT,“
5160,PRON,我们
5161,ADV,如此
5162,ADV,和平
5163,VERB,生活
5164,PART,了
5165,NUM,8
5166,NUM,个
5167,NOUN,月
5168,PUNCT,，
5169,NOUN,现在
5170,NOUN,这一切
5171,ADV,都
5172,ADV,将
5173,ADV,重新
5174,VERB,开始
5175,PUNCT,。
5176,ADP,自
5177,NOUN,1973年
5178,PART,起
5179,PUNCT,，
5180,DET,此
5181,VERB,站
5182,ADP,以
5183,NUM,两
5184,NUM,座
5185,NOUN,世界
5186,NOUN,贸易
5187,NOUN,中心
5188,VERB,命名
5189,PUNCT,。
5190,ADP,经过
5191,NUM,23
5192,NOUN,小时
5193,PRON,她
5194,ADV,自由
5195,VERB,攀登
5196,PART,了
5197,DET,整
5198,NUM,条
5199,NOUN,路径
5200,PUNCT,。
5201,VERB,这是
5202,PROPN,澳大利亚
5203,NOUN,官方
5204,NOUN,旗帜
5205,NOUN,之一
5206,PUNCT,，
5207,ADV,并
5208,VERB,拥有
5209,VERB,特殊
5210,PART,的
5211,NOUN,法律
5212,CCONJ,和
5213,NOUN,政治
5214,NOUN,地位
5215,PUNCT,。
5216,ADV,约
5217,VERB,有
5218,NUM,875
5219,NUM,家
5220,NOUN,餐馆
5221,CCONJ,和
5222,NOUN,旅馆
5223,ADP,由
5224,NOUN,合作社
5225,CCONJ,和
5226,NOUN,政府
5227,NOUN,组织
5228,ADV,公开
5229,VERB,管理
5230,PUNCT,。
5231,PROPN,耶稣
5232,ADV,似乎
5233,VERB,表现
5234,VERB,出
5235,ADJ,类似
5236,PART,的
5237,NOUN,风格
5238,PUNCT,。
5239,PRON,他
5240,VERB,说
5241,PUNCT,：
5242,PUNCT,“
5243,PRON,她
5244,ADV,不
5245,VERB,喜欢
5246,VERB,查尔斯
5247,ADV,而且
5248,PRON,他
5249,ADV,也
5250,ADV,不
5251,VERB,喜欢
5252,PRON,她
5253,PUNCT,。
5254,ADV,很快
5255,PRON,我
5256,ADV,将
5257,X,被
5258,VERB,发现
5259,CCONJ,和
5260,VERB,杀死
5261,PUNCT,，
5262,ADP,像
5263,NOUN,其他人
5264,VERB,那样
5265,PUNCT,。
5266,NOUN,2008年
5267,PART,初
5268,PUNCT,（
5269,CCONJ,及
5270,NOUN,之后
5271,PART,的
5272,ADJ,多次
5273,NOUN,场合
5274,PUNCT,）
5275,PUNCT,，
5276,NUM,几
5277,NUM,个
5278,VERB,重要
5279,PART,的
5280,NOUN,官员们
5281,VERB,开会
5282,VERB,讨论
5283,VERB,该
5284,ADV,如何
5285,VERB,处置
5286,PROPN,哈桑
5287,PUNCT,。
5288,ADP,在
5289,NOUN,道路
5290,PART,上
5291,PUNCT,，
5292,PRON,你
5293,VERB,可以
5294,VERB,走向
5295,ADJ,未知
5296,PART,的
5297,NOUN,世界
5298,PUNCT,。
5299,PRON,你
5300,VERB,必须
5301,VERB,寻找
5302,PRON,你
5303,PART,的
5304,NOUN,敌人
5305,PUNCT,，
5306,VERB,打
5307,PRON,你
5308,PART,的
5309,NOUN,战争
5310,PUNCT,。
5311,VERB,扩大
5312,PART,后
5313,PART,的
5314,NUM,12年
5315,PUNCT,，
5316,PROPN,欧盟
5317,ADV,仍
5318,VERB,在
5319,NUM,"""消化"
5320,PUNCT,""""
5321,DET,这
5322,NUM,一
5323,NOUN,变化
5324,PUNCT,。
5325,PROPN,伊拉克
5326,ADV,同时
5327,VERB,估算
5328,PART,了
5329,ADV,大约
5330,VERB,有
5331,VERB,价值
5332,NUM,$24亿
5333,NUM,美元
5334,PART,的
5335,PROPN,伊拉克
5336,NOUN,石油
5337,X,被
5338,PROPN,科威特
5339,PUNCT,“
5340,NOUN,偷采
5341,PUNCT,”
5342,PUNCT,，
5343,ADV,并
5344,VERB,要求
5345,PROPN,科威特
5346,VERB,予以
