translation
"{'en': 'In 1835 he met and befriended Taras Shevchenko.', 'fr': 'En juillet 1835 il rencontre et se lie avec Taras Chevtchenko.'}"
"{'en': 'Raised in San Antonio he graduated from Robert E. Lee High School and the University of the Incarnate Word.', 'fr': ""Il fut diplômé de Robert E. Lee High School et de l'université du Verbe incarné.""}"
"{'en': ""He sang with the Nederlandse Opera in Monteverdi's operas L'Orfeo and L'incoronazione di Poppea and also in Rêves d'un Marco Polo of Claude Vivier."", 'fr': ""Il chante avec l'opéra national des Pays-Bas dans L'Orfeo et L'incoronazione di Poppea de Monteverdi et aussi dans les Rêves d'un Marco Polo de Claude Vivier.""}"
"{'en': 'With cycling becoming increasingly popular the Woodside Rail Trail is a regular spot for visitors.', 'fr': 'Avec la popularité grandissante du cyclisme le « Woodside Rail Trail » est de plus en plus fréquenté.'}"
"{'en': 'Frederick Meyer stayed there until 1902 when Dr A. T Pierson was asked to undertake his duties during two prolonged periods of travel abroad.', 'fr': ""Frederick Meyer y est resté jusqu'en 1902 quand on a demandé au pasteur presbytérien américain Arthur Tappan Pierson qui avait aussi remplacé Charles Spurgeon en son temps de le suppléer dans ses fonctions pendant deux périodes prolongées de voyages à l'étranger.""}"
"{'en': ""I Killed the Prom Queen was formed in Adelaide South Australia in late 2000 with the original line-up of Ben Engel on bass guitar Simon O'Gorman on guitar JJ Peters (Josef John W Peters) on drums Lee Stacy on vocals and Jona Weinhofen on guitar."", 'fr': ""I Killed the Prom Queen est formé dans la ville d'Adélaïde en Australie-Méridionale fin 2000 avec un line-up composé de Ben Engel à la basse Simon O'Gorman à la guitare JJ Peters (Josef John W Peters) à la batterie Austin H au chant et Jona Weinhofen à la guitare.""}"
"{'en': 'Algernon Percy unsuccessfully applied for compensation in 1649 for the damage.', 'fr': ""Algernon Percy fit une demande d'indemnisation en 1649 pour les dommages subis mais sans succès.""}"
"{'en': 'The government will not become complacent only if it is under the supervision of the people.', 'fr': ""Le gouvernement ne va devenir complaisant que s'il est sous le contrôle du peuple.""}"
"{'en': 'When he saw the Union movement Hampton thought they were trying to position themselves to attack the rear of his force and sent a squadron to outflank them virtually surrounding the majority of the Union men.', 'fr': ""Quand il voit le mouvement de l'Union Hampton pense qu'ils essayent de se positionner pour attaquer l'arrière de sa force et envoie un escadron les duper encerclant pratiquement la majorité des hommes de l'Union.""}"
"{'en': 'When finished the dome of the Candelária was the tallest structure in the city.', 'fr': 'Une fois fini le dôme du Candelária était la structure la plus grande dans la ville.'}"
"{'en': 'The Great Depression and World War II accelerated the shift away from smallholder farming to larger farms and began a trend of urbanization.', 'fr': ""La Grande Dépression et la Seconde Guerre mondiale ont accéléré le passage d'une agriculture dominée par les fermes de petits propriétaires à de plus grandes exploitations et ont fait débuter un processus d’urbanisation qui se poursuit encore aujourd'hui.""}"
"{'en': 'A narrow strip along the eastern side of the Black Sea has a modified version of a humid subtropical climate for example in Sochi Russia.', 'fr': ""Une bande étroite le long de la côte est de la mer Noire a une version modifiée d'un climat subtropical humide par exemple à Sotchi en Russie.""}"
"{'en': 'In 1991 fellow Tropezian and textile worker Loïc Berthet takes over the brand.', 'fr': 'En 1991 c’est autre Tropézien Loïc Berthet issu du textile qui reprend l’affaire.'}"
"{'en': 'Having lost custody of Henry the Yorkists needed a justification to continue the rebellion against the king and his Lancastrian followers.', 'fr': ""Ayant perdu la garde du roi les yorkistes ont besoin d'une justification pour continuer à prendre les armes contre lui et ses partisans.""}"
"{'en': ""The unit carried out conventional police duties for the next two years under the command of Göring's ministerial adjutant Friedrich Jakoby but it was Göring's intention to ultimately produce a unit that would match the Reichswehr."", 'fr': ""L'unité a exercé des fonctions de police classique durant deux années sous le commandement de l’adjudant ministériel de Göring Jakoby Friedrich mais Göring avait finalement l'intention de produire une unité qui corresponde à la Reichswehr.""}"
"{'en': '1911 : Pont des Amidonniers known as pont des Catalans a road bridge over the Garonne in Toulouse.', 'fr': '1911 : Pont des Amidonniers dit pont des Catalans à Toulouse (pont routier sur la Garonne).'}"
"{'en': 'The streak came to a halt when she faced Andrea DeShong on October 6 of the same year.', 'fr': ""La série s’est arrêtée lorsqu'elle a fait face à Andrea DeShong  le 6 octobre de la même année.""}"
"{'en': ""On 29 March 2007 Mihalis Filopoulos a 22-year-old Panathinaikos fan was stabbed to death at Paiania a town close to Athens where a women's volleyball game between Olympiacos and Panathinaikos was scheduled to take place that day during a pre-arranged clash between hooligans of the two clubs."", 'fr': ""Le 29 mars 2007 lors d'un affrontement organisé par différents supporters un supporter de 22 ans du Panathinaikos est poignardé à mort à Paiania une ville proche d'Athènes alors qu'un match de volleyball féminin opposant les équipes de l'Olympiakos et du Panathinaikos devait avoir lieu ce jour-là.""}"
"{'en': 'The colour-grinder is at work in a corner a pupil prepares a palette and a black dog sleeps on the ground.', 'fr': 'Le broyeur de couleurs est au travail dans un coin un élève prépare une palette tandis qu’un chien noir dort par terre.'}"
"{'en': 'Njami is the curator of ""Africa Remix"" showed in Düsseldorf (Museum Kunst Palast) London (Hayward Gallery) Paris (Centre Pompidou) Tokyo (Mori Museum) Stockholm (Moderna Museet) and Johannesburg (Johannesburg Art Gallery) from 2004 to 2007.', 'fr': ""Simon Njami conçoit également l'exposition Africa Remix présentée à Düsseldorf (Museum Kunst Palast) Londres (Hayward Gallery) Paris (Centre Pompidou) Tokyo (Mori Museum) Stockholm (Moderna Museet) et Johannesburg (Johannesburg Art Gallery) de 2004 à 2007.""}"
"{'en': 'Foley was also camp director at Valley Forge Military Academy in Wayne Pennsylvania.', 'fr': ""Foley a également été directeur de camp d'entrainement à l'Académie Militaire deValley Forge située à Wayne (en) en Pennsylvanie.""}"
"{'en': 'On 27 July 1794 the Austrian troops left Liège after bombarding and burning the Amercœur district.', 'fr': ""Le 27 juillet 1794 les troupes autrichiennes quittent Liège après avoir bombardé et incendié le quartier d'Amercœur.""}"
"{'en': 'A lifelong communist Gold was a novelist and literary critic.', 'fr': 'Communiste toute sa vie durant Gold est un romancier et critique littéraire.'}"
"{'en': 'Bragg withdrew across the Neuse River and was unable to prevent the fall of Kinston on March 14.', 'fr': ""Ce dernier se retira de l'autre côté de la rivière Neuse et fut impuissant à empêcher la chute de Kinston le 14 mars.""}"
"{'en': 'Six are still in place on the building.', 'fr': 'Six sont encore en place sur le bâtiment.'}"
"{'en': 'In this palace Shah Abbas II and his successors would receive dignitaries and ambassadors either on the terrace or in one of the stately reception halls.', 'fr': 'Dans ce palais Chah Abbas II et ses successeurs recevaient les dignitaires et les ambassadeurs sur la terrasse ou dans un des halls de réception.'}"
"{'en': 'A Twenty20 International is an international cricket match between two representative teams.', 'fr': 'Le Twenty20 international est une forme de cricket disputée entre des équipes nationales.'}"
"{'en': 'Jews were often called (and occasionally called themselves) Palestinians but after the emergence of Arab Palestinian nationalism and the establishment of the State of Israel in 1948 the term ""Palestinians"" came to be used almost exclusively for Palestinian Arabs.', 'fr': ""Dans la période précédant le mandat britannique de Palestine et au cours de celui-ci les Juifs du Yichouv étaient appelés (et se dénommaient) « Juifs palestiniens » ou simplement « Palestiniens » mais après l'établissement de l'État d'Israël en 1948 et l'émergence du nationalisme palestinien arabe dans les années 1960 le terme « Palestiniens » ne désigna plus que les Arabes palestiniens.""}"
"{'en': 'Three of these new centres are particularly relevant: the Centre for Biotechnology the Centre for Zoology and Hydro-ecology and the Centre for Organic and Pharmaceutical Chemistry.', 'fr': 'Trois de ces nouveaux centres sont particulièrement importants : le Centre de biotechnologie le Centre de zoologie et d’hydroécologie et le Centre de chimie organique et pharmaceutique.'}"
"{'en': 'Notice that as long as there exists some path with a positive residual capacity the flow will not be maximum.', 'fr': ""À noter que tant qu'il existe un chemin avec une capacité résiduelle positive le flot ne peut être maximal.""}"
"{'en': 'For purchasing power parity comparisons the US Dollar is exchanged at 9.40 Soms only.', 'fr': ""Pour les comparaisons de parité de pouvoir d'achat le dollar US est échangé à 940 soms seulement.""}"
"{'en': 'Jacques-Henri Rys died prematurely in 1960 aged 51.', 'fr': ""Jacques-Henri Rys est décédé prématurément en 1960 à l'âge de 51 ans.""}"
"{'en': ""The Shipbuilding &amp; Engineering Company's ship G.C. Amdrup is also named for him."", 'fr': ""Le navire de la Shipbuilding &amp; Engineering Company's G.C. Amdrup porte son nom.""}"
"{'en': 'He supported the candidacy of Ferdinand of Habsburg early and Ferdinand reward him after the coronation in 1527 with the confirmation of his captaincy in Bohemia and awarding him the post of Oberlandeshauptmann in Silesia.', 'fr': 'Il soutient la candidature de Ferdinand de Habsbourg qui le récompense après son couronnement en 1527 en lui confirmant sa charge de « Capitaine de Bohême » et lui octroie la fonction de Oberlandeshauptmann en Silésie.'}"
"{'en': 'Daena is a feminine noun which translates to ""that which is seen or observed"".', 'fr': 'Daênâ est un substantif féminin qui se traduit par « ce qui est vu ou observé ».'}"
"{'en': 'They wear the skull masks which later became their symbol and fetish even during their few interviews on television.', 'fr': 'Ce masque de crâne devenu leur symbole et fétiche est porté même lors de leurs rares interviews à la télévision.'}"
"{'en': 'DJ Clazzi described as ""a magician at synthesizing different sounds in music into creating one unique new genre"". graduated from Capilano College and continued his study at Centre for Digital Imaging and Sound (CDIS).', 'fr': 'DJ Clazzi décrit comme ""un magicien de la synthétisation de nouveaux sons dans la musique afin de créer de nouveaux genres uniques"" a étudié au Capilano College puis a continué ses études au Centre for Digital Imaging and Sound (CDIS).'}"
"{'en': 'The ExtraCellular Matrix (ECM) and the cells in contact with the ECM exert mutual tensions.', 'fr': 'La Matrice ExtraCellulaire (MEC) et les cellules en contact avec la MEC exercent des tensions réciproques.'}"
"{'en': 'Frans Schrijver.', 'fr': 'Écrivain français.'}"
"{'en': 'To make this possible officers and commanders have superhuman abilities and have the capability to kill hundreds of enemy soldiers per stage.', 'fr': 'Pour ce faire les officiers et les commandants ont des capacités surhumaines et peuvent de ce fait tuer des dizaines de soldats à la chaîne.'}"
"{'en': ""The 360° twins can have a single ignition system for both cylinders with a wasted spark on each cylinder's exhaust stroke."", 'fr': ""Les twins à 360° peuvent avoir un seul système d'allumage pour les deux cylindres avec une étincelle perdue sur la course d'échappement de chaque cylindre.""}"
"{'en': ""The event's featured performers included Tortoise The Wrens The Decemberists The Go!"", 'fr': 'L’événement a proposé des concerts de Tortoise The Wrens The Decemberists The Go!'}"
"{'en': 'Herzog was the second of three children born in Illinois to Edgar and Lietta Herzog.', 'fr': ""Herzog était le deuxième de trois enfants nés dans l'Illinois à Edgar et Lietta Herzog.""}"
"{'en': 'Due to his attempt to disguise the Chinese defeat in the Siege of Ulsan as a victory Yang was recalled from the commanding post and received no more significant commission until appointed grand coordinator of Liaodong (遼東) in 1610.', 'fr': ""En raison de sa tentative de dissimuler la défaite chinoise au siège d'Ulsan en la faisant passer pour une victoire Yang est rappelé du poste de commandement et ne reçoiy pas de commission importante avant s'être nommé gouverneur (巡撫) du Liaodong (遼東) en 1610.""}"
"{'en': 'Martina Heine: Dominik Marquard heiratete Hessin.', 'fr': 'Martina Heine: Dominik Marquard heiratete Hessin.'}"
"{'en': 'These political songs were often signed ""Ur c\'hoz masouner"" (An old mason).', 'fr': ""Ces chansons politiques étaient souvent signées « Ur c'hoz masouner » (« Un vieux maçon »).""}"
"{'en': 'He kept this portfolio until his death in 1947 including his time in the government in exile.', 'fr': ""Il garde ce portefeuille jusqu'à sa mort en 1947 même lorsque ce gouvernement est en exil.""}"
"{'en': 'Other festival appearances included Y Not Kendal Calling and Party in the Pines.', 'fr': 'Ils jouent également aux festivals Y Not Kendal Calling et Party in the Pines.'}"
"{'en': 'Dæhli signed a professional contract with Manchester United on his 17th birthday and made his debut for the reserves in the match against West Bromwich later the same month.', 'fr': ""Dæhli signe un contrat professionnel avec Manchester United lors de son 17e anniversaire et fait ses débuts avec l'équipe des moins de 18 ans des Red Devils dans le match contre West Bromwich plus tard dans le même mois.""}"
"{'en': 'She is the second child.', 'fr': 'Elle est la deuxième enfant.'}"
"{'en': 'In his account of those events which were written many years later the Venetian seducer seeks to obtain the central role even though he was perhaps only a partial witness.', 'fr': ""Il signifie Belle. » Dans le récit acrobatique et peu vraisemblable qu'il fait des évènements et qui fut rédigé de nombreuses années plus tard le séducteur vénitien cherche à se donner le rôle central alors même qu'il n'a peut-être été qu'un témoin partiel.""}"
"{'en': 'Gabriel Taborin (1799–1864) was a French Religious Brother and founder of the Brothers of the Holy Family of Belley France.', 'fr': 'Gabriel Taborin (1799-1864) prêtre français fondateur des frères de la Sainte Famille de Belley.'}"
"{'en': 'In Addiscombe near London Addiscombe Place is built to the design of architect Sir John Vanbrugh (known for Blenheim Palace).', 'fr': ""Construction de la place d'Addiscombe par l'architecte Sir John Vanbrugh (connu pour le palais de Blenheim).""}"
"{'en': 'She joined the Nigerian Youth Movement in 1935.', 'fr': 'Elle rejoint le parti de la jeunesse nigérian en 1935.'}"
"{'en': 'He marries his stepmother contrary to church law and refuses baptism.', 'fr': ""Il épouse sa belle-mère en violation des canons de l'Église et refuse le baptême.""}"
"{'en': 'That hope now belonged to the past.', 'fr': ""Elles appartiennent aujourd'hui au passé.""}"
"{'en': 'On 31 December 2010 there were 53 businesses in Avirey-Lingey: 35 in agriculture-forestry-fishing one in industry one in construction 13 in various trade-transport-services and 3 were related to the administrative sector.', 'fr': ""Au 31 décembre 2010 Avirey-Lingey comptait 53 établissements : 35 dans l’agriculture-sylviculture-pêche 1 dans l'industrie 1 dans la construction 13 dans le commerce-transports-services divers et 3 étaient relatifs au secteur administratif.""}"
"{'en': 'Studies on marine Oligochaeta from Bermuda with emphasis on new Phallodrilus species (Tubificidae).', 'fr': 'Studies on marine Oligochaeta from Bermuda with emphasis on new Phallodrilus species (Tubificidae).'}"
"{'en': 'Tim-Kevin Ravnjak (born 5 November 1996) is a Slovenian snowboarder.', 'fr': 'Tim-Kevin Ravnjak né le 5 novembre 1996 à Celje est un snowbordeur slovène.'}"
"{'en': 'Firstly the explanation of the suspension of the imperial visit offered by the right is no longer sustainable.', 'fr': ""Premièrement l'explication que la suspension des visites impériales soit due à la loi n'est plus viable.""}"
"{'en': 'It is almost unheard of for a scientist to refuse to provide his data for independent examination when asked but Targ and Puthoff consistently refused to allow Marks and Kammann to see copies of the transcripts.', 'fr': ""C'est presque du jamais vu pour un scientifique de refuser de fournir ses données pour examen indépendant quand on les lui demande mais Targ et Puthoff ont refusé constamment d'autoriser Marks et Kammann de voir les copies des relevés de notes.""}"
"{'en': 'Flowers are unknown.', 'fr': ""L'inflorescence est inconnue.""}"
"{'en': 'He used the terms: the waste basket diagnosis the plague of mental disease demon possession and insanity.', 'fr': 'Il a employé les termes : le diagnostic de corbeille la maladie mentale la possession de démon et la folie.'}"
"{'en': ""Following an audition and meeting with Burton McCrostie was cast as Olive Abroholos Elephanta in the film Miss Peregrine's Home for Peculiar Children alongside Eva Green Asa Butterfield Ella Purnell and Samuel L. Jackson."", 'fr': ""À la suite d'une audition et d'une rencontre avec Tim Burton McCrostie a été choisie pour interprêter Olive Abroholos Elephanta dans le film Miss Peregrine et les Enfants particuliers aux côtés d'Eva Green Asa Butterfield Ella Purnell et Samuel L. Jackson.""}"
"{'en': 'Museum Boijmans van Beuningen.', 'fr': 'Le musée Boijmans Van Beuningen.'}"
"{'en': 'Washington Territory (green) and Oregon Territory (blue) in 1853.', 'fr': ""Le territoire de l'Oregon (bleu) et le territoire de Washington (vert) en 1853.""}"
"{'en': 'At first the English conquered half of France and seemed likely to win the war until the French were rallied by a peasant girl who would later become a saint Joan of Arc.', 'fr': ""Dans un premier temps les Anglais conquirent la moitié de la France et semblaient en position de gagner la guerre jusqu'à ce que les Français se rallient à une jeune paysanne qui deviendra plus tard une sainte Jeanne d'Arc.""}"
"{'en': 'Gossuin has regularly participated at the game show Mot de passe hosted by Patrick Sabatier on France 2.', 'fr': 'Pauline Delpech participe régulièrement au jeu Mot de passe diffusé par France 2 et présenté par Patrick Sabatier.'}"
"{'en': 'She was also a pupil of her uncle John Roddam Spencer Stanhope who was a great influence on her works.', 'fr': ""Son oncle John Roddam Spencer Stanhope eut beaucoup d'influence sur elle.""}"
"{'en': ""In 1969 he became the spokesperson for the United Indians of All Tribes' occupation of Alcatraz Island."", 'fr': ""Il devient à cette occasion le porte-parole du mouvement des United Indians of All Tribes (Indiens de toutes les tribus) créé pendant l'occupation d'Alcatraz.""}"
"{'en': 'Potatoes were utilized by the Inca and chocolate was used by the Aztecs.', 'fr': 'Les pommes de terre étaient utilisées par les Incas et le chocolat par les Aztèques.'}"
"{'en': 'In the Pohl case SS-Obergruppenführer Oswald Pohl and 17 other SS officers employed by the SS Main Economic and Administrative Office (abbreviated in German as SS-WVHA) were tried for war crimes and crimes against humanity committed during the time of the Nazi regime.', 'fr': ""Dans ce procès Oswald Pohl et 17 autres officiers SS travaillant à l'Office central SS pour l'économie et l'administration (Wirtschafts-Verwaltungshauptamt ou WVHA) ont été jugés pour crimes de guerre et crimes contre l'humanité commis pendant la période du Troisième Reich.""}"
"{'en': 'It may belong to Ringo Starr"".', 'fr': 'Son nom vient de Ringo Starr.'}"
"{'en': 'Fecal Matter was formed early in 1985 after Kurt Cobain had dropped out of Aberdeen High School.', 'fr': ""Fecal Matter est formé en 1985 1985 après que Kurt Cobain ait été jeté de l'Aberdeen High School.""}"
"{'en': 'The L2 point lies on the line through the two large masses beyond the smaller of the two.', 'fr': 'L2 : sur la ligne définie par les deux masses au-delà de la plus petite.'}"
"{'en': 'The track ""Rainbow in the Sky"" features both Flea and John Frusciante of the Red Hot Chili Peppers while ""Melancholy Mood"" features only Flea.', 'fr': 'Sur le titre Rainbow in the Sky collaborent à la fois John Frusciante (à la guitare) et Flea (à la basse) des Red Hot Chili Peppers tandis que sur Melancholy Mood seul Flea apporte sa participation.'}"
"{'en': ""As it was built at Zborowski's estate of Higham Park near Canterbury it was also known as the Higham Special."", 'fr': 'Comme elle fut construite dans le domaine de Zborowski de Higham Parc près de Canterbury elle fut aussi nommée « Higham Spécial ».'}"
"{'en': 'In 1921 Kremer returned to Vilna then called Wilno in newly independent Poland.', 'fr': 'En 1921 Kremer retourne à Vilnius alors appelée Wilno dans la Pologne nouvellement indépendante.'}"
"{'en': 'It has jurisdiction in respect of criminal and civil matters as well as a range of administrative matters.', 'fr': 'Elle a juridiction sur les affaires civils et criminelles ainsi que plusieurs affaires administratives.'}"
"{'en': ""Whilst the Type 97 Chi-Ha tank was classified as a medium tank by the Imperial Japanese Army the People's Liberation Army heavily influenced by Soviet war doctrine classed the tank as a light tank in official documents."", 'fr': ""Alors que le char de Type 97 Chi-Ha Kai était classé comme char moyen par l'Armée impériale japonaise l'Armée de libération du peuple fortement influencée par la doctrine de guerre soviétique le classa comme char léger dans ses documents officiels.""}"
"{'en': ""His spirits buoyed Nixon sought a second term but some of Eisenhower's aides aimed to displace him."", 'fr': ""Nixon envisagea d'accomplir un second mandat mais certains soutiens d'Eisenhower cherchaient à l'évincer.""}"
"{'en': 'Jack Horner also pointed out that the tyrannosaur lineage had a history of steadily improving binocular vision.', 'fr': 'Jack Horner a également souligné que les Tyrannosauridae avaient évolué au cours du temps en améliorant de façon constante leur vision binoculaire.'}"
"{'en': 'He was one of the first members of the Institute for Advanced Study (1933–1951) and also a professor at Princeton University (1920–1951).', 'fr': ""Il fut l'un des premiers membres de l'Institute for Advanced Study (1933-1951) et aussi professeur à l'université de Princeton (1920-1951).""}"
"{'en': ""Raymond's 1986 book A Passion for Friends: a Philosophy of Female Affection deviates from her work on medical technologies into the realm of feminist friendship as a basis for a broader feminist theory and politics."", 'fr': ""Raymond dans son livre de 1986 A Passion for Friends: a Philosophy of Female Affection (en français : Passion pour l’amitié: une philosophie de l'affection féminine) s'écarte de son travail sur les technologies médicales pour entrer dans le domaine de l'amitié féministe en tant que potentiel pour le développement d'une théorie féministe et politique.""}"
"{'en': 'In Cornwall the village of St Blazey derives from his name where the parish church is still dedicated to Saint Blaise.', 'fr': ""En Cornouailles le village de saint Blazey (en) a été nommé d'après lui et l'église de la paroisse consacrée à saint Blaise.""}"
"{'en': 'Though Sweden stayed neutral during the war its naval vessels escorted and protected convoys inside Swedish territorial waters at times attacking hostile submarines with depth charges.', 'fr': ""Bien que la Suède fût restée neutre pendant la guerre ses navires escortaient et protégeaient les convois à l'intérieur des eaux territoriales suédoises attaquant parfois les sous-marins hostiles avec des charges de profondeur.""}"
"{'en': 'SMPTE 372M is a standard published by SMPTE which expands upon SMPTE 259M SMPTE 344M and SMPTE 292M allowing for bit-rates of 2.970 Gbit/s and 2.970/1.001 Gbit/s over two wires.', 'fr': 'SMPTE 372M est un standard publié par la SMPTE qui étend SMPTE 259M SMPTE 344M et SMPTE 292M pour autoriser des débits de 2.970 Gbit/s et 2.970/1.001 Gbit/s avec deux câbles.'}"
"{'en': 'In August 1946 Falcon became national secretary of the Union of Spanish Women.', 'fr': ""En août 1946 elle devient secrétaire nationale de l'Union des femmes espagnoles.""}"
"{'en': 'The genes of the S-motility system appear to be homologs of genes involved in the biosynthesis assembly and function of twitching motility in other bacteria.', 'fr': ""Les gènes du système de type S s'avèrent être homologues aux gènes impliqués dans la biosynthèse l'assemblage et la fonction de la motilité par contractions/convulsions chez d'autres bactéries.""}"
"{'en': 'He was said to have shot Regent Moray twice in the belly and navel on 23 January 1570 with a gun loaded with two lead balls.', 'fr': 'Il y est dit avoir tiré deux fois sur le Régent Moray dans le ventre et au nombril le 23 janvier 1570 avec un fusil chargé de deux balles de plomb.'}"
"{'en': ""On October 10 2016 JYP Entertainment released a time table for Twice's third extended play through their official homepage and SNS which shows the group's promotion schedule beginning October 10 until the release of their album on the 24th."", 'fr': ""Le 10 octobre 2016 JYP Entertainment a mis en ligne l'horaire de sortie pour le troisième mini-album des Twice via leur site officiel et les réseaux sociaux montrant que les promotions du groupe commenceront le 10 octobre jusqu'à la sortie de l'album le 24 octobre.""}"
"{'en': 'Opera critics at the time criticized her technical skill but praised her interpretive ability.', 'fr': ""Les critiques de l'époque critiquent sa compétence technique mais font l'éloge de sa capacité d'interprétation.""}"
"{'en': 'In 2007 ownership was transferred to a holding company in Los Angeles and the property is now managed by Robert Reynolds.', 'fr': 'En 2007 le titre de propriété fut transféré à une société faîtière de Los Angeles et la propriété est actuellement gérée par Robert Reynolds.'}"
"{'en': '1PN110 a more recent night sight for the RPG-29.', 'fr': '1PN110 : vision nocturne plus récente pour RPG-29.'}"
"{'en': 'Three years later he was called as pastor of the Walloon church in London but his delicate health not accommodating to the climate he returned to Geneva and was ordered to serve the church of Chancy.', 'fr': 'Trois ans après il fut appelé comme pasteur de l’Église wallonne à Londres mais sa santé délicate ne pouvant s’accommoder au climat il retourna à Genève et fut chargé de desservir l’église de Chancy puis à Saconnex près de Genève.'}"
"{'en': 'In addition to revitalizing Train\'s career in their native country ""Hey Soul Sister"" has also become a big international hit; it was #1 on the official Dutch and Australian singles charts for 7 weeks and 4 weeks respectively and also became their first Irish number one single.', 'fr': ""En plus de revitaliser la carrière de Train dans leur pays natal Hey Soul Sister devient également un succès international puisqu'il est numéro un aux Pays-Bas et en Australie pendant sept et quatre semaines respectives et devient également leur premier single numéro 1 en Irlande.""}"
"{'en': ""In January 1955 the B.B. Pen Company Inc. sued ABC-Paramount Theaters Inc. charging breach of contract and fraud with regard to the company's sponsorship of the Jessel program."", 'fr': 'En janvier 1955 le B.B. Pen Company Inc. a poursuivi ABC-Paramount Theaters Inc. pour rupture de contrat et fraude en ce qui concerne le parrainage du programme Jessel.'}"
"{'en': 'Catostomidae have been uncovered and dated to the Middle Eocene in Colorado and Utah.', 'fr': ""Les Catostomidae ont été découverts en date de l'Éocène moyen dans le Colorado et l'Utah.""}"
"{'en': 'The Los Angeles Times\' Mary McNamara gave it a mixed review stating that it ""collapses into camp... upon more than one occasion"" but also noting that it is ""hard to look away.""', 'fr': 'Mary McNamara du Los Angeles Times écrivit une critique mitigée expliquant : « tout s’effondre à chaque occasion » mais qu’il est « dur de détourner les yeux ».'}"
"{'en': 'This branch descended from Louis XIV and his son the ""Grand Dauphin"" began with King Philip V of Spain Son of France and Duke of Anjou before his accession.', 'fr': ""Cette branche issue de Louis XIV et de son fils le Grand Dauphin est née avec le roi Philippe V d'Espagne fils de France et duc d'Anjou avant son accession au trône.""}"
"{'en': 'He was a student of Katsukawa Shunshō and is generally credited with designing the first large-head actor portraits (ōkubi-e).', 'fr': ""Il est élève de Katsukawa Shunshō et généralement considéré comme le créateur des premiers grands portraits d'acteurs (ōkubi-e).""}"
"{'en': ""In addition to the main quest Link's Awakening contains side-missions and diversions."", 'fr': ""En plus de la quête principale Link's Awakening offre des quêtes secondaires.""}"
"{'en': ""During much of the dynasty's existence its effective realm was the northwestern quadrant of present-day Ethiopia the Ethiopian Highlands."", 'fr': ""Au cours de la majeure partie de la dynastie salomonide le quadrant nord-ouest de l’actuel plateau d’Éthiopie a constitué l'essentiel du territoire de l'empire.""}"
"{'en': 'Choekyi Gyaltsen 10th Panchen Lama himself declared as cited by an official Chinese review that ""according to Tibetan tradition the confirmation of either the Dalai or Panchen must be mutually recognized.""', 'fr': ""Cependant le 10e panchen-lama lui-même avait fait une déclaration qui fut citée dans une publication officielle chinoise « Selon l'histoire tibétaine la confirmation du dalaï-lama ou du panchen-lama doit être mutuellement reconnue ».""}"
"{'en': 'However no one appeared and Cohen was forced to flee when the police arrived.', 'fr': ""Mais personne n'apparaît et Cohen doit s'enfuir à l'arrivée de la police.""}"
"{'en': 'In 2005 he made a major advance in the field of Galois representations and number theory by proving the level 1 Serre conjecture and later a proof of the full conjecture with Jean-Pierre Wintenberger.', 'fr': 'En 2005 il a effectué une avancée majeure dans le domaine des représentations de Galois et de la théorie des nombres en prouvant le niveau 1 de la conjecture de Serre.'}"
"{'en': 'From 1798 to 1808 Lowell was engaged in overseas trade importing silks and tea from China and hand-spun and hand-woven cotton textiles from India.', 'fr': ""De 1798 à 1808 Lowell travaille dans le négoce international pour importer de Chine et d'Inde des produits de soie et de coton.""}"
"{'en': 'For example most mobile phones represent actions as icons and some might have menus but very few include a pointer or run programs in a window.', 'fr': 'Par exemple la plupart des téléphones mobiles représentent les actions possibles par des icônes et certains possèdent mêmes des menus mais très peu utilisent le pointeur.'}"
"{'en': 'Continuum 1990.', 'fr': 'Continuum 1990.'}"
"{'en': 'Only after graduating as an accountant Gravgaard signed a contract in the top-flight Danish Superliga championship when he moved to Viborg FF in July 2002.', 'fr': ""Seulement après avoir obtenu son diplôme de comptable Gravgaard signe un contrat dans le haut-niveau du championnat quand il a déménagé à Viborg FF à l'été 2002.""}"
"{'en': 'In fact the puppet footballer Jean-Pierre Papin of Les Guignols was presented as a big fan of the drink.', 'fr': ""En effet la marionnette du footballeur Jean-Pierre Papin des Guignols de l'info fut présenté comme un grand amateur de la boisson.""}"
"{'en': 'At the turn of the millennium the Languedoc region went through a serious wine-making crisis: overproduction bad sales and competition with wines from the New World and the Southern hemisphere on the international market.', 'fr': ""Au tournant des années 2000 le vignoble languedocien traverse encore une fois une grave crise viticole : surproduction mévente concurrence avec les vins du Nouveau Monde et de l'hémisphère Sud sur le marché international.""}"
"{'en': 'On May 10 2014 the band announced on their Facebook page that Vocalist Paul Zinay will be finishing vocal tracks for Storm.', 'fr': 'Le 10 mai 2014 Blackguard annonce sur Facebook que le chanteur Paul Zinay a terminé les parties vocales de Storm.'}"
"{'en': 'In the past in French Canada the term ""galette"" meant a kind of flat biscuit or crepe cooked in the pan.', 'fr': 'Jadis au Canada français le terme « galette » désignait une sorte de biscuit plat ou de crêpe cuit dans la poêle.'}"
