,Sentence,Annotation
240,我只是讨厌成为一个东西。,"我 r
只是 c
讨厌 v
成为 v
一个 m
东西 ns
。 x
"
241,从2017年6月起，保加利亚将拥有其第一颗对地静止通信卫星 。,"从 p
2017 m
年 m
6 m
月 m
起 v
， x
保加利亚 ns
将 d
拥有 v
其 r
第一颗 m
对 p
地 n
静止 v
通信卫星 nz
  x
。 x
"
242,"毫无疑问的布尔什维克很快会‘发现’我们枪决了12,000多波兰军官。","毫无疑问 l
的 uj
布尔什维克 nrt
很快 d
会 v
‘ x
发现 v
’ x
我们 r
枪决 v
了 ul
12 m
, x
000 m
多 m
波兰 ns
军官 n
。 x
"
243,两艘重巡洋舰保持接触。,"两艘 m
重 a
巡洋舰 n
保持 v
接触 v
。 x
"
244,此外，不同于其他知识产权协定的是，TRIPS具备有力的执行机制。,"此外 c
， x
不同于 c
其他 r
知识产权 n
协定 v
的 uj
是 v
， x
TRIPS eng
具备 v
有力 n
的 uj
执行 v
机制 n
。 x
"
245,我的人民，他们中的一些，已经逃到了山丘里，并且没有毛毯，没有食物。,"我 r
的 uj
人民 n
， x
他们 r
中 f
的 uj
一些 m
， x
已经 d
逃到 v
了 ul
山丘 ns
里 f
， x
并且 c
没有 v
毛毯 n
， x
没有 v
食物 n
。 x
"
246,他们很快释放一半的人质。,"他们 r
很快 d
释放 v
一半 m
的 uj
人质 n
。 x
"
247,如果你要做到这一点，你需要一个不同的超人。,"如果 c
你 r
要 v
做到 v
这 r
一点 m
， x
你 r
需要 v
一个 m
不同 a
的 uj
超人 n
。 x
"
248,说到繁荣与强大，对中国而言，这不是第一次，也不是最后一次。,"说 v
到 v
繁荣 a
与 p
强大 a
， x
对 p
中国 ns
而言 c
， x
这 r
不是 c
第一次 m
， x
也 d
不是 c
最后 f
一次 m
。 x
"
249,战略制定者应该问自己“为什么客户选择我们？”。,"战略 n
制定者 n
应该 v
问 n
自己 r
“ x
为什么 r
客户 n
选择 v
我们 r
？ x
” x
。 x
"
250,他们通常不喜欢理论和书面的解释。,"他们 r
通常 d
不 d
喜欢 v
理论 n
和 c
书面 n
的 uj
解释 v
。 x
"
251,后来，她与Management 360签约。,"后来 t
， x
她 r
与 p
Management eng
  x
360 m
签约 v
。 x
"
252,你是这些人的酋长。,"你 r
是 v
这些 r
人 n
的 uj
酋长 n
。 x
"
253,自由文化，有如自由市场，充满了财产。,"自由 a
文化 n
， x
有如 v
自由市场 n
， x
充满 a
了 ul
财产 n
。 x
"
254,你是否见过堪萨斯州的日落，或者亚利桑那的雨。,"你 r
是否 v
见 v
过 ug
堪萨斯州 ns
的 uj
日落 n
， x
或者 c
亚利桑那 ns
的 uj
雨 n
。 x
"
255,后来波兰历史学家又进一步确定了480名受害者的姓名。,"后来 t
波兰 ns
历史学家 n
又 d
进一步 d
确定 v
了 ul
480 m
名 n
受害者 n
的 uj
姓名 n
。 x
"
256,鸟每天在笼子里花费的时间也是一个因素。,"鸟 zg
每天 r
在 p
笼子 n
里 f
花费 n
的 uj
时间 n
也 d
是 v
一个 m
因素 n
。 x
"
257,某些优先权也建立在双边协定的基础上。,"某些 r
优先权 n
也 d
建立 v
在 p
双边协定 nz
的 uj
基础 n
上 f
。 x
"
258,弗雷德·穆雷几乎每个周末都回来继续搜寻。,"弗雷德 nrt
· x
穆雷 nr
几乎 d
每个 r
周末 t
都 d
回来 v
继续 v
搜寻 v
。 x
"
259,当这种情况没有发生时，政府逮捕了60名组织领导人。,"当 t
这种 r
情况 n
没有 v
发生 v
时 n
， x
政府 n
逮捕 v
了 ul
60 m
名 n
组织 v
领导人 n
。 x
"
260,格林否认他下载或观看过这种图像。,"格林 nr
否认 v
他 r
下载 v
或 c
观看 v
过 ug
这种 r
图像 n
。 x
"
261,他总是一个很贴心的人，约翰。,"他 r
总是 c
一个 m
很 zg
贴心 v
的 uj
人 n
， x
约翰 nrt
。 x
"
262,虽然没有政府正式赞助，但也有活跃的业务帮助LGBT游客访问柬埔寨。,"虽然 c
没有 v
政府 n
正式 ad
赞助 v
， x
但 c
也 d
有 v
活跃 vn
的 uj
业务 n
帮助 v
LGBT eng
游客 n
访问 v
柬埔寨 ns
。 x
"
263,这项新技术传播非常快(十年之内传播了整个欧洲)。,"这项 r
新 a
技术 n
传播 vn
非常 d
快 a
( x
十年 m
之内 f
传播 vn
了 ul
整个 b
欧洲 ns
) x
。 x
"
264,当我回到捷克斯洛伐克时，我已经开始了解市场的原则。,"当 p
我 r
回到 v
捷克斯洛伐克 ns
时 n
， x
我 r
已经 d
开始 v
了解 v
市场 n
的 uj
原则 n
。 x
"
265,在美国革命结束时，社区里只有十座房屋。,"在 p
美国 ns
革命 vn
结束 v
时 n
， x
社区 n
里 f
只有 c
十座 m
房屋 n
。 x
"
266,这整个过程也反映在阅读中。,"这 r
整个 b
过程 n
也 d
反映 v
在 p
阅读 v
中 f
。 x
"
267,2010年，由于她的评论引起了争议。,"2010 m
年 m
， x
由于 c
她 r
的 uj
评论 n
引起 v
了 ul
争议 n
。 x
"
268,我认为红色和黑色是一个很好的组合。,"我 r
认为 v
红色 n
和 c
黑色 n
是 v
一个 m
很好 a
的 uj
组合 v
。 x
"
269,那儿有400名白人和400名黑人，我们就叫他们黑鬼，他们不介意。,"那儿 r
有 v
400 m
名 n
白人 n
和 c
400 m
名 n
黑人 n
， x
我们 r
就 d
叫 v
他们 r
黑鬼 n
， x
他们 r
不介意 l
。 x
"
270,那时候她说：“吉姆从未觉得他活在约翰·列侬的阴影下。,"那 r
时候 n
她 r
说 v
： x
“ x
吉姆 nrt
从未 d
觉得 v
他 r
活 n
在 p
约翰 nrt
· x
列侬 nr
的 uj
阴影 n
下 f
。 x
"
271,（爱尔兰代表团的团长亚瑟·格里菲斯也在1922年8月去世）。,"（ x
爱尔兰 nr
代表团 n
的 uj
团长 n
亚瑟 nrt
· x
格里菲斯 nrt
也 d
在 p
1922 m
年 m
8 m
月 m
去世 t
） x
。 x
"
272,五年后，德国法院结束了司法程序。,"五年 t
后 f
， x
德国 ns
法院 n
结束 v
了 ul
司法程序 n
。 x
"
273,我们已经建立起一种新的教会，由我们自己的殉道者和先知。,"我们 r
已经 d
建立 v
起 v
一种 m
新 a
的 uj
教会 n
， x
由 p
我们 r
自己 r
的 uj
殉道者 n
和 c
先知 n
。 x
"
274,对于孩子们来说，想象力是主题。,"对于 p
孩子 n
们 k
来说 u
， x
想象力 n
是 v
主题 n
。 x
"
275,Arthur T. White引入了如下概念。,"Arthur eng
  x
T eng
. m
  x
White eng
引入 v
了 ul
如下 t
概念 n
。 x
"
276,彼得认为一辆车应该看起来活跃的，因为它不想看起来像一件家具。,"彼得 nrt
认为 v
一辆车 n
应该 v
看起来 v
活跃 vn
的 uj
， x
因为 c
它 r
不想 v
看起来 v
像 v
一件 m
家具 n
。 x
"
277,TSA将继续使用其他全身扫描仪。,"TSA eng
将 d
继续 v
使用 v
其他 r
全身 n
扫描仪 n
。 x
"
278,然而，在第一年之后，大部分的材料都被重复使用，包括字典。,"然而 c
， x
在 p
第一年 m
之后 f
， x
大部分 m
的 uj
材料 n
都 d
被 p
重复使用 l
， x
包括 v
字典 n
。 x
"
279,国际盟友的使用正在考量。,"国际 n
盟友 n
的 uj
使用 v
正在 t
考量 n
。 x
"
280,印尼的经济潜力难道不比俄罗斯更令人期待吗?,"印尼 ns
的 uj
经济 n
潜力 n
难道 d
不 d
比 p
俄罗斯 ns
更 d
令人 nrt
期待 v
吗 y
? x
"
281,2008年11月15日UNESCO专家检测了这些石头以确定其状况。,"2008 m
年 m
11 m
月 m
15 m
日 m
UNESCO eng
专家 n
检测 vn
了 ul
这些 r
石头 n
以 p
确定 v
其 r
状况 n
。 x
"
282,其中有五个孩子，四十名妇女，其中只有两人幸存下来。,"其中 r
有 v
五个 m
孩子 n
， x
四十名 m
妇女 n
， x
其中 r
只有 c
两 m
人 n
幸存 v
下来 t
。 x
"
283,希安可以得到他自己的帽子。,"希安 ns
可以 c
得到 v
他 r
自己 r
的 uj
帽子 n
。 x
"
284,北也门（后来演变成为也门）于1945年5月5日加入。,"北 ns
也门 d
（ x
后来 t
演变 v
成为 v
也门 d
） x
于 p
1945 m
年 m
5 m
月 m
5 m
日 m
加入 v
。 x
"
285,因此，主观条件——即阶级意识——必须尽早提前建立。,"因此 c
， x
主观 n
条件 n
— x
— x
即 v
阶级意识 l
— x
— x
必须 d
尽早 d
提前 v
建立 v
。 x
"
286,对于100％或0％的水平，它们是相同的。,"对于 p
100 m
％ x
或 c
0 m
％ x
的 uj
水平 n
， x
它们 r
是 v
相同 d
的 uj
。 x
"
287,两国之间的边界将不会在1992年4月之前重新开放。,"两国之间 l
的 uj
边界 n
将 d
不会 v
在 p
1992 m
年 m
4 m
月 m
之前 f
重新 a
开放 v
。 x
"
288,他们达到他们的第一个重要奖项，荷兰银竖琴(Dutch Silver Harp)。,"他们 r
达到 v
他们 r
的 uj
第一个 m
重要 a
奖项 n
， x
荷兰 ns
银 ng
竖琴 n
( x
Dutch eng
  x
Silver eng
  x
Harp eng
) x
。 x
"
289,根据乌克兰在2005年颁布的民事和行政程序，所有法律和法庭程序将以乌克兰语进行。,"根据 p
乌克兰 nr
在 p
2005 m
年 m
颁布 v
的 uj
民事 n
和 c
行政 n
程序 n
， x
所有 b
法律 n
和 c
法庭 n
程序 n
将 d
以 p
乌克兰语 nz
进行 v
。 x
"
290,3月18日：欧盟和土耳其就解决非法（或“不合法”）移民问题达成协议。,"3 m
月 m
18 m
日 m
： x
欧盟 j
和 c
土耳其 ns
就 d
解决 v
非法 b
（ x
或 c
“ x
不 d
合法 n
” x
） x
移民 n
问题 n
达成协议 nz
。 x
"
291,“哦，现在一切是多么的复杂”她在1918年5月2日写道。,"“ x
哦 zg
， x
现在 t
一切 r
是 v
多么 r
的 uj
复杂 a
” x
她 r
在 p
1918 m
年 m
5 m
月 m
2 m
日 m
写道 v
。 x
"
292,"今天，他们仍然是，虽然每一个部分铁路的养恤金被指定为""相当于""社会保障。","今天 t
， x
他们 r
仍然 d
是 v
， x
虽然 c
每 zg
一个 m
部分 n
铁路 n
的 uj
养 vn
恤金 n
被 p
指定 v
为 p
"" x
相当于 v
"" x
社会保障 n
。 x
"
293,机场的经理被杀，而其余两架民航机没有在早上回来。,"机场 n
的 uj
经理 n
被 p
杀 v
， x
而 c
其余 r
两架 m
民航机 n
没有 v
在 p
早上 t
回来 v
。 x
"
294,女性的服装应该要符合她的想要和需要。,"女性 n
的 uj
服装 vn
应该 v
要 v
符合 v
她 r
的 uj
想要 v
和 c
需要 v
。 x
"
295,下一次让我的人民活着!,"下 f
一次 m
让 v
我 r
的 uj
人民 n
活着 v
! x
"
296,到了1680年，他被描述为近乎疯癫。,"到 v
了 ul
1680 m
年 m
， x
他 r
被 p
描述 v
为 p
近乎 d
疯癫 z
。 x
"
297,她的活动和观点以及她反对政府和宗教原教旨主义的工作导致她于1987年2月4日被暗杀。,"她 r
的 uj
活动 vn
和 c
观点 n
以及 c
她 r
反对 d
政府 n
和 c
宗教 n
原教旨主义 n
的 uj
工作 vn
导致 v
她 r
于 p
1987 m
年 m
2 m
月 m
4 m
日 m
被 p
暗杀 v
。 x
"
298,主持人与来宾会边看边讨论其内容，但以主持人的解说为主。,"主持人 n
与 p
来宾 n
会 v
边 d
看 v
边 d
讨论 v
其 r
内容 n
， x
但以 c
主持人 n
的 uj
解说 v
为主 v
。 x
"
299,ERP II是比第一代的ERP更加灵活。,"ERP eng
  x
II eng
是 v
比 p
第一代 m
的 uj
ERP eng
更加 d
灵活 a
。 x
"
300,Bolton想要在1930年取得实际的成果而且他的愿望实现了。,"Bolton eng
想要 v
在 p
1930 m
年 m
取得 v
实际 n
的 uj
成果 n
而且 c
他 r
的 uj
愿望 v
实现 v
了 ul
。 x
"
301,他说，看见的那些人，一定是别的印第安人。,"他 r
说 v
， x
看见 v
的 uj
那些 r
人 n
， x
一定 d
是 v
别的 r
印第安人 nz
。 x
"
302,德国和奥地利之间的列车暂停了12小时。,"德国 ns
和 c
奥地利 ns
之间 f
的 uj
列车 n
暂停 d
了 ul
12 m
小时 n
。 x
"
303,62%的地方监狱囚犯在等待审判。,"62 m
% x
的 uj
地方 n
监狱 n
囚犯 n
在 p
等待 v
审判 vn
。 x
"
304,TRIPS要求成员国对知识产权给予有力保护。,"TRIPS eng
要求 v
成员国 n
对 p
知识产权 n
给予 v
有力 n
保护 v
。 x
"
305,2006年9月底之后新部署的所有军用接收机必须使用SAASM。,"2006 m
年 m
9 m
月底 t
之后 f
新 a
部署 n
的 uj
所有 b
军用 n
接收机 n
必须 d
使用 v
SAASM eng
。 x
"
306,如果没有华沙，我们现在面对的麻烦中有五分之四将不复存在。,"如果 c
没有 v
华沙 ns
， x
我们 r
现在 t
面对 v
的 uj
麻烦 an
中 f
有 v
五分 m
之四 r
将 d
不复存在 l
。 x
"
307,鱼再次警告他，但帽子里的猫却只是提出另一个游戏。,"鱼 n
再次 d
警告 n
他 r
， x
但 c
帽子 n
里 f
的 uj
猫 n
却 d
只是 c
提出 v
另 r
一个 m
游戏 n
。 x
"
308,Campbell的新船是一个巨大的成功。,"Campbell eng
的 uj
新船 n
是 v
一个 m
巨大 a
的 uj
成功 a
。 x
"
309,他们的建议已被其他所有国家研究和教育网络采纳。,"他们 r
的 uj
建议 n
已 d
被 p
其他 r
所有 b
国家 n
研究 vn
和 c
教育网络 n
采纳 v
。 x
"
310,签证可以现在将担保以电子方式和收集从伊朗领事馆或国际机场。,"签证 v
可以 c
现在 t
将 d
担保 v
以 p
电子 n
方式 n
和 c
收集 v
从 p
伊朗 ns
领事馆 n
或 c
国际 n
机场 n
。 x
"
311,他被两个看见他溺水的奴隶救了出来。,"他 r
被 p
两个 m
看见 v
他 r
溺水 v
的 uj
奴隶 n
救 v
了 ul
出来 v
。 x
"
312,1998年之后，他的成功仅限于国内水平了。,"1998 m
年 m
之后 f
， x
他 r
的 uj
成功 a
仅限于 l
国内 s
水平 n
了 ul
。 x
"
313,除了国际专家委员会之外，还有其他几个国际代表团在1943年中期访问了这些遗址。,"除了 p
国际 n
专家 n
委员会 n
之外 f
， x
还有 v
其他 r
几个 m
国际 n
代表团 n
在 p
1943 m
年 m
中期 t
访问 v
了 ul
这些 r
遗址 n
。 x
"
314,他的六个运动员未能通过血检。,"他 r
的 uj
六个 m
运动员 n
未能 v
通过 p
血检 j
。 x
"
315,玛丽并没有苏格兰口音。,"玛丽 nr
并 c
没有 v
苏格兰 ns
口音 n
。 x
"
316,乔治George Basevi设计大部分房屋。,"乔治 nr
George eng
  x
Basevi eng
设计 vn
大部分 m
房屋 n
。 x
"
317,罗伯特·赫布拉斯说：“我的左臂和我的头发已经烧着了。,"罗伯特 nr
· x
赫 nr
布拉斯 nr
说 v
： x
“ x
我 r
的 uj
左臂 n
和 c
我 r
的 uj
头发 n
已经 d
烧着 v
了 ul
。 x
"
318,一个非报复策略的例子是始终合作。,"一个 m
非 h
报复 v
策略 n
的 uj
例子 n
是 v
始终 d
合作 vn
。 x
"
319,日本的劳工领导人遵守了他的禁令。,"日本 ns
的 uj
劳工 vn
领导人 n
遵守 v
了 ul
他 r
的 uj
禁令 n
。 x
"
320,我对于周五的判决很失望，我会继续反抗这项判决,"我 r
对于 p
周五 t
的 uj
判决 v
很 zg
失望 v
， x
我会 n
继续 v
反抗 v
这项 r
判决 v
"
321,巴德必须辨认尸体。,"巴德 nrt
必须 d
辨认 v
尸体 n
。 x
"
322,有些人认为，资本主义已经被废除。,"有些 r
人 n
认为 v
， x
资本主义 n
已经 d
被 p
废除 v
。 x
"
323,Yonenaga用了2小时33分钟。,"Yonenaga eng
用 p
了 ul
2 m
小时 n
33 m
分钟 q
。 x
"
324,我也要求被指控。,"我 r
也 d
要求 v
被 p
指控 vn
。 x
"
325,如果我们谈到一个女孩，那就是刚刚发生的事情。,"如果 c
我们 r
谈到 v
一个 m
女孩 n
， x
那 r
就是 d
刚刚 d
发生 v
的 uj
事情 n
。 x
"
326,Phlegon从来没有提到过耶稣或3小时的黑暗。,"Phlegon eng
从来 d
没有 v
提到 v
过 ug
耶稣 nr
或 c
3 m
小时 n
的 uj
黑暗 z
。 x
"
327,公众对同性婚姻的支持正在迅速增长。,"公众 n
对 p
同性 n
婚姻 n
的 uj
支持 v
正在 t
迅速 ad
增长 v
。 x
"
328,95%的新型建筑不符合中国自身的能源效益法规。,"95 m
% x
的 uj
新型 b
建筑 n
不 d
符合中国 ns
自身 r
的 uj
能源 n
效益 n
法规 n
。 x
"
329,党员的平均年龄显示类似的趋势。,"党员 n
的 uj
平均年龄 n
显示 v
类似 v
的 uj
趋势 n
。 x
"
330,水和酒精能以任何比例结合使用。,"水 n
和 c
酒精 n
能 v
以 p
任何 r
比例 n
结合 v
使用 v
。 x
"
331,我差点丧命，是越南人民挽救了我的生命，感谢医生们”。,"我 r
差点 n
丧命 v
， x
是 v
越南 ns
人民 n
挽救 v
了 ul
我 r
的 uj
生命 vn
， x
感谢 v
医生 n
们 k
” x
。 x
"
332,普京总统、俄罗斯和伊朗必须为支持畜生阿萨德负责。,"普京 ns
总统 n
、 x
俄罗斯 ns
和 c
伊朗 ns
必须 d
为 p
支持 v
畜生 n
阿萨德 nr
负责 v
。 x
"
333,我完全支持美国宪法，我不会欢迎减少（任何形式）的条款。,"我 r
完全 ad
支持 v
美国 ns
宪法 n
， x
我 r
不会 v
欢迎 v
减少 v
（ x
任何 r
形式 n
） x
的 uj
条款 n
。 x
"
334,旅馆客满，而又来了一个新客人。,"旅馆 n
客满 a
， x
而 c
又 d
来 v
了 ul
一个 m
新 a
客人 n
。 x
"
335,所有这些时刻都将消逝在时间里，就像雨中的泪水。,"所有 b
这些 r
时刻 n
都 d
将 d
消逝 vn
在 p
时间 n
里 f
， x
就 d
像 v
雨 n
中 f
的 uj
泪水 n
。 x
"
336,近年来，阿布哈兹和南奥塞梯政府一直紧密合作，寻求更多的国际认可。,"近年来 t
， x
阿布哈兹 nrt
和 c
南奥塞梯 ns
政府 n
一直 d
紧密 a
合作 vn
， x
寻求 v
更多 d
的 uj
国际 n
认可 v
。 x
"
337,在共和政体中，柏拉图描述了五种政治制度（其中四种是不公正的）。,"在 p
共和政体 n
中 f
， x
柏拉图 nr
描述 v
了 ul
五种 m
政治 n
制度 n
（ x
其中 r
四种 m
是 v
不 d
公正 nr
的 uj
） x
。 x
"
338,George Sipe创建了Unix版本。,"George eng
  x
Sipe eng
创建 v
了 ul
Unix eng
版本 n
。 x
"
339,自由化和竞争也开始影响到铁路。,"自由化 vn
和 c
竞争 vn
也 d
开始 v
影响 vn
到 v
铁路 n
。 x
"
340,传统的家庭结构应当被一个集体的革命所取代。,"传统 n
的 uj
家庭 n
结构 n
应当 v
被 p
一个 m
集体 n
的 uj
革命 vn
所 c
取代 v
。 x
"
341,如果计算机可以思考，那么它们是活的。,"如果 c
计算机 n
可以 c
思考 v
， x
那么 r
它们 r
是 v
活 n
的 uj
。 x
"
342,世界上最快的人力潜艇Omer就是由一个这样的俱乐部开发的。,"世界 n
上 f
最快 d
的 uj
人力 n
潜艇 n
Omer eng
就是 d
由 p
一个 m
这样 r
的 uj
俱乐部 n
开发 v
的 uj
。 x
"
343,一个人不能自由地展示这种艺术风格。,"一个 m
人 n
不能 v
自由 a
地 uv
展示 v
这种 r
艺术风格 n
。 x
"
344,自2006年11月22日起，含有BBP的化妆品不得供应给欧盟的消费者。,"自 r
2006 m
年 m
11 m
月 m
22 m
日 m
起 v
， x
含有 v
BBP eng
的 uj
化妆品 n
不得 v
供应 vn
给 p
欧盟 j
的 uj
消费者 n
。 x
"
345,英国石油公司BP丧失了17%的市场份额。,"英国 ns
石油 n
公司 n
BP eng
丧失 v
了 ul
17 m
% x
的 uj
市场份额 n
。 x
"
346,在战争之前，赫尔辛基有相当广泛的民事辩护制度。,"在 p
战争 n
之前 f
， x
赫尔辛基 nrt
有 v
相当 d
广泛 a
的 uj
民事 n
辩护 v
制度 n
。 x
"
347,同一天，我看到了一个可怕的景象。,"同一天 d
， x
我 r
看到 v
了 ul
一个 m
可怕 c
的 uj
景象 n
。 x
"
348,从2006年以后，阿鲁沙也成为非洲人权与民族权利法院的所在地。,"从 p
2006 m
年 m
以后 f
， x
阿鲁沙 nr
也 d
成为 v
非洲 ns
人权 n
与 p
民族 n
权利 n
法院 n
的 uj
所在地 n
。 x
"
349,博利纳斯宣布自身独立于其他政府。,"博 nr
利纳斯 nr
宣布 v
自身 r
独立 v
于 p
其他 r
政府 n
。 x
"
350,国家保护正常的宗教活动。,"国家 n
保护 v
正常 d
的 uj
宗教 n
活动 vn
。 x
"
351,第二，工业应该服务和帮助农业。,"第二 m
， x
工业 n
应该 v
服务 vn
和 c
帮助 v
农业 n
。 x
"
352,今天在这儿的人只有2%会在一场重大战役中牺牲。,"今天 t
在 p
这儿 r
的 uj
人 n
只有 c
2 x
% x
会 v
在 p
一场 m
重大 a
战役 n
中 f
牺牲 v
。 x
"
353,在耶路撒冷本身，设立四个这样的区域。,"在 p
耶路撒冷 ns
本身 r
， x
设立 v
四个 m
这样 r
的 uj
区域 n
。 x
"
354,这也是为什么美国人从来都没有输过而且永远也不会输掉一场战争。,"这 r
也 d
是 v
为什么 r
美国 ns
人 n
从来 d
都 d
没有 v
输 v
过 ug
而且 c
永远 d
也 d
不会 v
输掉 v
一场 m
战争 n
。 x
"
355,他称赞小农们是“最有价值的公民”。,"他 r
称赞 v
小农 n
们 k
是 v
“ x
最 d
有 v
价值 n
的 uj
公民 n
” x
。 x
"
356,我总是对地理和旅行痴迷，想给非洲一个浪漫的描述。,"我 r
总是 c
对 p
地理 n
和 c
旅行 vn
痴迷 v
， x
想 v
给 p
非洲 ns
一个 m
浪漫 a
的 uj
描述 v
。 x
"
357,"""有时我觉得被歧视， 但这一点并不使我生气。",""" x
有时 r
我 r
觉得 v
被 p
歧视 v
， x
  x
但 c
这 r
一点 m
并 c
不 d
使 v
我 r
生气 n
。 x
"
358,就像大多数蜜月一样，这样的阶段最终会告一段落。,"就 d
像 v
大多数 m
蜜月 n
一样 r
， x
这样 r
的 uj
阶段 n
最终 d
会 v
告一段落 l
。 x
"
359,这两个特别法庭的成立更加突出了常设国际刑事法院的必要性。,"这 r
两个 m
特别法庭 n
的 uj
成立 v
更加 d
突出 v
了 ul
常设 vn
国际 n
刑事 b
法院 n
的 uj
必要性 l
。 x
"
360,阿根廷核计划取得了巨大成功。,"阿根廷 nr
核计划 n
取得 v
了 ul
巨大成功 nr
。 x
"
361,他也希望就1987年中间核条约谈判。,"他 r
也 d
希望 v
就 d
1987 m
年 m
中间 f
核 n
条约 n
谈判 vn
。 x
"
362,2011年11月，他提出了一些自己的经济政策见解： 创造工作岗位。,"2011 m
年 m
11 m
月 m
， x
他 r
提出 v
了 ul
一些 m
自己 r
的 uj
经济 n
政策 n
见解 v
： x
  x
创造 v
工作岗位 n
。 x
"
363,有关每个框架的基本资讯。,"有关 vn
每个 r
框架 n
的 uj
基本 n
资讯 n
。 x
"
364,在2010年之前，该文书曾名为Standard for the Uniform Scheduling of Drugs and Poisons（SUSDP）。,"在 p
2010 m
年 m
之前 f
， x
该 r
文书 n
曾 d
名为 v
Standard eng
  x
for eng
  x
the eng
  x
Uniform eng
  x
Scheduling eng
  x
of eng
  x
Drugs eng
  x
and eng
  x
Poisons eng
（ x
SUSDP eng
） x
。 x
"
365,2009年，一名新嫌疑犯被调查。,"2009 m
年 m
， x
一名 m
新 a
嫌疑犯 n
被 p
调查 vn
。 x
"
366,截至2月24日（公投日期），白宫尚未作出回应。,"截至 v
2 m
月 m
24 m
日 m
（ x
公投 v
日期 t
） x
， x
白宫 nr
尚未 d
作出 v
回应 v
。 x
"
367,“我们国家没有钱来保护自己应对每一个潜在的未来威胁，”他说。,"“ x
我们 r
国家 n
没有 v
钱 n
来 v
保护 v
自己 r
应对 v
每 zg
一个 m
潜在 t
的 uj
未来 t
威胁 vn
， x
” x
他 r
说 v
。 x
"
368,然而在那里，军队大多数的马死亡了。,"然而 c
在 p
那里 r
， x
军队 n
大多数 m
的 uj
马 n
死亡 v
了 ul
。 x
"
369,”他补充说，“如果你们接受这个倡议，那么就会有57个阿拉伯和伊斯兰国家承认你们。,"” x
他 r
补充 v
说 v
， x
“ x
如果 c
你们 r
接受 v
这个 r
倡议 n
， x
那么 r
就 d
会 v
有 v
57 m
个 m
阿拉伯 nr
和 c
伊斯兰 ns
国家 n
承认 v
你们 r
。 x
"
370,她补充道：“我自己，对我和克林顿总统之间发生的事情深表遗憾。,"她 r
补充 v
道 q
： x
“ x
我 r
自己 r
， x
对 p
我 r
和 c
克林顿 nr
总统 n
之间 f
发生 v
的 uj
事情 n
深表遗憾 i
。 x
"
371,在这种区分中，有一个特定的苹果和一个苹果的普遍形式。,"在 p
这种 r
区分 n
中 f
， x
有 v
一个 m
特定 d
的 uj
苹果 n
和 c
一个 m
苹果 n
的 uj
普遍 ad
形式 n
。 x
"
372,捷克共和国和斯洛伐克：没有任何限制。,"捷克共和国 ns
和 c
斯洛伐克 ns
： x
没有 v
任何 r
限制 v
。 x
"
373,不过，她的训练包括更广泛的技能，如舞蹈和烹饪。,"不过 c
， x
她 r
的 uj
训练 vn
包括 v
更 d
广泛 a
的 uj
技能 n
， x
如 v
舞蹈 n
和 c
烹饪 v
。 x
"
374,我可以耐心等待，但这带给我们不少麻烦。,"我 r
可以 c
耐心 a
等待 v
， x
但 c
这 r
带给 v
我们 r
不少 d
麻烦 an
。 x
"
375,很久以来，思考死亡对我而言就是自由的开始。,"很 zg
久 a
以来 f
， x
思考 v
死亡 v
对 p
我 r
而言 c
就是 d
自由 a
的 uj
开始 v
。 x
"
376,1985年，它每天只播放2.5小时。,"1985 m
年 m
， x
它 r
每天 r
只 d
播放 v
2.5 m
小时 n
。 x
"
377,那时，他们的生活幸福且安逸。,"那时 r
， x
他们 r
的 uj
生活 vn
幸福 a
且 zg
安逸 nr
。 x
"
378,次年它首次在荷兰和魁北克出版。,"次年 t
它 r
首次 m
在 p
荷兰 ns
和 c
魁北克 ns
出版 v
。 x
"
379,我知道我在说什么，因为我也在安哥拉和葡属几内亚打过仗。,"我 r
知道 v
我 r
在 p
说 v
什么 r
， x
因为 c
我 r
也 d
在 p
安哥拉 nr
和 c
葡属 n
几内亚 ns
打过仗 l
。 x
"
380,他们的一些DNA被找回了。,"他们 r
的 uj
一些 m
DNA eng
被 p
找回 v
了 ul
。 x
"
381,一旦波兰问题的解决，我想终生作为一个艺术家”。,"一旦 d
波兰 ns
问题 n
的 uj
解决 v
， x
我 r
想 v
终生 n
作为 v
一个 m
艺术家 n
” x
。 x
"
382,社会正在经历严重创伤，而司法部长却在微笑。,"社会 n
正在 t
经历 n
严重 a
创伤 v
， x
而 c
司法部长 n
却 d
在 p
微笑 vn
。 x
"
383,二十七名幸存者已运往意大利。,"二十七名 m
幸存者 nr
已 d
运往 vn
意大利 ns
。 x
"
384,他崩溃流泪，决定告诉Alice过去两天的全部真相。,"他 r
崩溃 v
流泪 n
， x
决定 v
告诉 v
Alice eng
过去 t
两天 m
的 uj
全部 n
真相 d
。 x
"
385,近几十年来，竞争法被视为提供更好公众服务的一种方法。,"近 a
几十年 m
来 v
， x
竞争法 n
被 p
视为 v
提供 v
更好 d
公众 n
服务 vn
的 uj
一种 m
方法 n
。 x
"
386,美国人并不直接监管最初的清理与灌溉工作。,"美国 ns
人 n
并 c
不 d
直接 ad
监管 vn
最初 t
的 uj
清理 a
与 p
灌溉 vn
工作 vn
。 x
"
387,骑士团现在可以将注意力全部集中于立陶宛了。,"骑士团 n
现在 t
可以 c
将 d
注意力 n
全部 n
集中 v
于 p
立陶宛 nr
了 ul
。 x
"
